CONSUMO;DATA;TEMP_MIN_MÉD_MENS;TEMP_MÉD_MIN_MENS;TEMP_MÉD_MÉD_MENS;TEMP_MÉD_MAX_MENS;TEMP_MÉD_ACC_MENS;TEMP_MAX_MÉD_MENS;PRECIPITAÇÃO_MÉD_MENS;TEMP_MIN_MIN_MENS;TEMP_MIN_MAX_MENS;TEMP_MIN_ACC_MENS;TEMP_MAX_MIN_MENS;PRECIPITAÇÃO_MIN_MENS;TEMP_MAX_MAX_MENS;TEMP_MAX_ACC_MENS;PRECIPITAÇÃO_MAX_MENS;PRECIPITAÇÃO_ACC_MENS;DIA_DA_SEMANA_dom;DIA_DA_SEMANA_qua;DIA_DA_SEMANA_qui;DIA_DA_SEMANA_seg;DIA_DA_SEMANA_sex;DIA_DA_SEMANA_sáb;DIA_DA_SEMANA_ter;MÊS_abr;MÊS_ago;MÊS_dez;MÊS_fev;MÊS_jan;MÊS_jul;MÊS_jun;MÊS_mai;MÊS_mar;MÊS_nov;MÊS_out;MÊS_set;ANO_2021;ANO_2022;ANO_2023;ANO_2024;ANO_2015;ANO_2016;ANO_2017;ANO_2018;ANO_2019;ANO_2020;ANO_2014;CAMPUS_ARAPONGAS;CAMPUS_ASSIS CHATEAUBRIAND;CAMPUS_ASTORGA;CAMPUS_BARRACÃO;CAMPUS_CAMPO LARGO;CAMPUS_CAPANEMA;CAMPUS_CASCAVEL;CAMPUS_COLOMBO;CAMPUS_CORONEL VIVIDA;CAMPUS_CURITIBA;CAMPUS_FOZ DO IGUAÇU;CAMPUS_GOIOERÊ;CAMPUS_IRATI;CAMPUS_IVAIPORÃ;CAMPUS_JACAREZINHO;CAMPUS_JAGUARIAÍVA;CAMPUS_LONDRINA - CENTRO;CAMPUS_LONDRINA - NORTE;CAMPUS_PALMAS;CAMPUS_PARANAGUÁ;CAMPUS_PARANAVAÍ;CAMPUS_PINHAIS;CAMPUS_PITANGA;CAMPUS_QUEDAS DO IGUAÇU;CAMPUS_TELÊMACO BORBA;CAMPUS_UMUARAMA;CAMPUS_UNIÃO DA VITÓRIA;CURSOS_TEC_CONCOMITANTE;CURSOS_TEC_INTEGRADO;CURSOS_TEC_SUBSEQUENTE;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS;FÉRIAS;FERIADO;COVID;GREVE;CAMPUS;REGIÃO;ORDEM;LAG_01;LAG_02;LAG_03;LAG_04;LAG_05;LAG_06;LAG_07;LAG_08;LAG_09;LAG_10;LAG_11;LAG_12
0.5699108670207977;2024-09-30;8.0;16.0;23.0;30.0;682.0;36.0;1.0;8.0;24.0;523.0;36.0;0.0;36.0;842.0;9.0;35.0;5;4;4;5;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0;0;0;0;CAPANEMA;REGIÃO SUL;72;0.38165121094805077;0.3481588187629423;0.12694697037904024;0.1862789232015846;0.33762492122085175;0.7891419825335374;0.8125506437381832;0.3174574592599262;0.39560637435851265;0.46187089223012523;0.4067705050868822;0.5185918789952283
0.822634374718646;2024-10-31;12.0;19.0;23.0;29.0;723.0;35.0;2.0;12.0;24.0;563.0;35.0;0.0;35.0;884.0;29.0;61.0;4;5;5;4;4;4;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0;0;0;0;CAPANEMA;REGIÃO SUL;73;0.5699108670207977;0.38165121094805077;0.3481588187629423;0.12694697037904024;0.1862789232015846;0.33762492122085175;0.7891419825335374;0.8125506437381832;0.3174574592599262;0.39560637435851265;0.46187089223012523;0.4067705050868822
0.31637591838155926;2018-09-30;5.0;11.0;19.0;26.0;561.0;33.0;10.0;5.0;19.0;404.0;33.0;0.0;33.0;717.0;117.0;286.0;5;4;4;4;4;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;1;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846;0.27034367491904315;0.10682823218078624;0.23273790870155647;0.2549531668929977;0.30425850482259126;0.3205543368501688
0.3802360806434764;2018-10-31;10.0;16.0;20.0;23.0;612.0;30.0;8.0;10.0;19.0;495.0;30.0;0.0;30.0;730.0;50.0;245.0;4;5;4;5;4;4;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;2;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846;0.27034367491904315;0.10682823218078624;0.23273790870155647;0.2549531668929977;0.30425850482259126
0.41087781607994706;2018-11-30;14.0;18.0;22.0;26.0;662.0;32.0;4.0;14.0;20.0;509.0;32.0;0.0;32.0;814.0;54.0;118.0;4;4;5;4;5;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;3;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846;0.27034367491904315;0.10682823218078624;0.23273790870155647;0.2549531668929977
0.4176329259375326;2018-12-31;10.0;18.0;23.0;26.0;714.0;33.0;3.0;10.0;21.0;526.0;33.0;0.0;33.0;902.0;18.0;81.0;5;4;4;5;4;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;4;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846;0.27034367491904315;0.10682823218078624;0.23273790870155647
0.28162540478428916;2019-01-31;16.0;21.0;25.0;28.0;777.0;34.0;4.0;16.0;21.0;611.0;34.0;0.0;34.0;942.0;25.0;130.0;4;5;5;4;4;4;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;31;0;0;0;CASCAVEL;REGIÃO OESTE;5;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846;0.27034367491904315;0.10682823218078624
0.3732720498624604;2019-02-28;14.0;18.0;23.0;27.0;647.0;34.0;5.0;14.0;22.0;501.0;34.0;0.0;34.0;793.0;30.0;128.0;4;4;4;4;4;4;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;6;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846;0.27034367491904315
0.6090741321076638;2019-03-31;12.0;19.0;21.0;25.0;665.0;31.0;6.0;12.0;19.0;515.0;31.0;0.0;31.0;814.0;47.0;195.0;5;4;4;4;5;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;3;0;0;CASCAVEL;REGIÃO OESTE;7;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453;0.5660364218809846
0.6005083742470141;2019-04-30;11.0;17.0;21.0;24.0;619.0;29.0;2.0;11.0;19.0;484.0;29.0;0.0;29.0;755.0;23.0;74.0;4;4;4;5;4;4;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;1;0;0;CASCAVEL;REGIÃO OESTE;8;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486;0.44883178383648453
0.47125596295135624;2019-05-31;8.0;11.0;18.0;23.0;562.0;28.0;8.0;8.0;18.0;450.0;28.0;0.0;28.0;674.0;52.0;236.0;4;5;5;4;5;4;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;9;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998;0.3594832689160486
0.3932588182039764;2019-06-30;7.0;10.0;18.0;22.0;545.0;28.0;0.0;7.0;16.0;387.0;28.0;0.0;28.0;704.0;3.0;7.0;5;4;4;4;4;5;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;1;0;0;CASCAVEL;REGIÃO OESTE;10;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222;0.24297503394964998
0.35432988613809674;2019-07-31;-3.0;4.0;14.0;22.0;449.0;27.0;3.0;-3.0;17.0;288.0;27.0;0.0;27.0;610.0;44.0;91.0;4;5;4;5;4;4;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;16;0;0;0;CASCAVEL;REGIÃO OESTE;11;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963;0.2743131724642222
0.44729969706466094;2019-08-31;-0.0;7.0;17.0;23.0;526.0;32.0;0.0;-0.0;17.0;316.0;32.0;0.0;32.0;737.0;2.0;7.0;4;4;5;4;5;5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;12;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926;0.30787980082871963
0.5233469131933564;2019-09-30;5.0;14.0;21.0;28.0;618.0;36.0;1.0;5.0;20.0;429.0;36.0;0.0;36.0;807.0;30.0;43.0;5;4;4;5;4;4;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;13;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764;0.31637591838155926
0.5521780006267627;2019-10-31;10.0;16.0;23.0;29.0;722.0;36.0;3.0;10.0;23.0;536.0;36.0;0.0;36.0;907.0;18.0;83.0;4;5;5;4;4;4;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;14;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706;0.3802360806434764
0.5122044639437306;2019-11-30;12.0;20.0;23.0;27.0;697.0;33.0;7.0;12.0;21.0;536.0;33.0;0.0;33.0;859.0;107.0;221.0;4;4;4;4;5;5;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;15;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326;0.41087781607994706
0.4080225634597305;2019-12-31;11.0;18.0;22.0;26.0;681.0;33.0;9.0;11.0;21.0;518.0;33.0;0.0;33.0;845.0;128.0;270.0;5;4;4;5;4;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;0;0;0;0;CASCAVEL;REGIÃO OESTE;16;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916;0.4176329259375326
0.3693025523172812;2020-01-31;16.0;18.0;24.0;26.0;734.0;32.0;3.0;16.0;22.0;590.0;32.0;0.0;32.0;877.0;18.0;96.0;4;5;5;4;5;4;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;31;0;0;0;CASCAVEL;REGIÃO OESTE;17;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604;0.28162540478428916
0.563181169260768;2020-02-29;11.0;18.0;24.0;26.0;682.0;32.0;1.0;11.0;21.0;527.0;32.0;0.0;32.0;837.0;7.0;33.0;4;4;4;4;4;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;3;0;0;CASCAVEL;REGIÃO OESTE;18;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638;0.3732720498624604
0.4729969706466102;2020-03-31;12.0;19.0;23.0;27.0;716.0;34.0;2.0;12.0;20.0;526.0;34.0;0.0;34.0;907.0;31.0;50.0;5;4;4;5;4;4;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;15;0;CASCAVEL;REGIÃO OESTE;19;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141;0.6090741321076638
0.06239771579790382;2020-04-30;4.0;12.0;19.0;25.0;564.0;32.0;3.0;4.0;19.0;365.0;32.0;0.0;32.0;763.0;45.0;83.0;4;5;5;4;4;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;1;30;0;CASCAVEL;REGIÃO OESTE;20;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624;0.6005083742470141
0.07138131550541449;2020-05-31;2.0;9.0;15.0;21.0;473.0;27.0;7.0;2.0;17.0;290.0;27.0;0.0;27.0;656.0;102.0;206.0;5;4;4;4;5;5;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;31;0;CASCAVEL;REGIÃO OESTE;21;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764;0.47125596295135624
0.04791253177339044;2020-06-30;4.0;10.0;17.0;24.0;519.0;29.0;4.0;4.0;19.0;373.0;29.0;0.0;29.0;664.0;54.0;134.0;4;4;4;5;4;4;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;1;30;0;CASCAVEL;REGIÃO OESTE;22;0.07138131550541449;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674;0.3932588182039764
0.053831957937254094;2020-07-31;1.0;8.0;16.0;22.0;497.0;27.0;2.0;1.0;17.0;336.0;27.0;0.0;27.0;657.0;43.0;76.0;4;5;5;4;5;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;31;0;CASCAVEL;REGIÃO OESTE;23;0.04791253177339044;0.07138131550541449;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094;0.35432988613809674
0.05961210348549739;2020-08-31;-0.0;5.0;18.0;24.0;561.0;30.0;9.0;-0.0;18.0;398.0;30.0;0.0;30.0;725.0;102.0;293.0;5;4;4;5;4;5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;31;0;CASCAVEL;REGIÃO OESTE;24;0.053831957937254094;0.04791253177339044;0.07138131550541449;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564;0.44729969706466094
0.07347052473971932;2020-09-30;10.0;17.0;22.0;30.0;665.0;37.0;1.0;10.0;22.0;491.0;37.0;0.0;37.0;839.0;17.0;43.0;4;5;4;4;4;4;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;30;0;CASCAVEL;REGIÃO OESTE;25;0.05961210348549739;0.053831957937254094;0.04791253177339044;0.07138131550541449;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627;0.5233469131933564
0.14896061840593333;2020-10-31;11.0;18.0;24.0;30.0;730.0;37.0;2.0;11.0;24.0;547.0;37.0;0.0;37.0;912.0;32.0;59.0;4;4;5;4;5;5;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;31;0;CASCAVEL;REGIÃO OESTE;26;0.07347052473971932;0.05961210348549739;0.053831957937254094;0.04791253177339044;0.07138131550541449;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306;0.5521780006267627
0.09505902016086909;2020-11-30;10.0;17.0;23.0;27.0;676.0;35.0;2.0;10.0;21.0;492.0;35.0;0.0;35.0;860.0;13.0;69.0;5;4;4;5;4;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.0;0;0;30;0;CASCAVEL;REGIÃO OESTE;27;0.14896061840593333;0.07347052473971932;0.05961210348549739;0.053831957937254094;0.04791253177339044;0.07138131550541449;0.06239771579790382;0.4729969706466102;0.563181169260768;0.3693025523172812;0.4080225634597305;0.5122044639437306
